Rank,Item,Major Group,Family Group,Menu Class,Total Net Sales,Total Qty Sold,Avg Price,Discount,Discount Pct,Rev Contribution Pct,Cumulative Rev Pct
634,Bells Special Reserve 1,Beverage,Ent - Whiskey,Star,24772.510000000002,459,53.97,-31.95,-0.13,0.0084,98.2862
635,Lemon Meringue Parfait,Food,Hot Dessert,Star,24759.1,219,113.06,-311.58,-1.24,0.0084,98.2946
636,Tea Breakfast ,Food,Ent - Tea,Star,24729.19,624,39.63,-32.849999999999994,-0.13,0.0084,98.303
637,Virgin Mango Daiquiri,Beverage,Ent - Cocktails,Star,24661.86,317,77.8,-129.05,-0.52,0.0084,98.3114
638,Iced Coffee,Food,Ent - Coffee,Star,24501.22,744,32.93,-51.44,-0.21,0.0083,98.3197
639,Coke Light  Can 200ml,Beverage,Ent - Minerals Softdrinks,Star,24421.99,825,29.6,-6.14,-0.03,0.0083,98.328
640,AW5 DeMorgenzon Roussanne 2017,Beverage,Ent - White Wine,Puzzle,24411.879999999997,26,938.92,0.0,0.0,0.0083,98.3363
641,Laurent Perrier Ultra Brut ,Beverage,Ent - Sparkling Wine,Puzzle,24366.75,20,1218.34,-2436.6800000000003,-9.09,0.0083,98.3446
642,Brogoluce Prosecco GLS,Beverage,Ent - Sparkling Wine,Star,24301.78,135,180.01,-64.98,-0.27,0.0083,98.3529
643,Inveroche Classic Gin Bottle,Beverage,Ent - Whiskey,Puzzle,24181.39,18,1343.41,-178.15,-0.73,0.0082,98.3611
644,Juice Fresh Fruit Cocktail ,Beverage,Ent - Minerals Juice / Smoothies,Star,23969.039999999997,722,33.2,-121.56,-0.5,0.0081,98.3692
645,Tanqueray,Beverage,Ent - White Spirits,Star,23824.370000000003,505,47.18,0.0,0.0,0.0081,98.3773
646,San Breakfast,Food,Breakfast Extra,Star,23803.16,6537,3.64,-268.49,-1.12,0.0081,98.3854
647,Bosman Nero,Beverage,Ent - Red Wine,Puzzle,23735.03,48,494.48,-126.35,-0.53,0.0081,98.3935
648,Raspberry & Mango Panacotta,Food,Cold Dessert,Star,23695.54,190,124.71,-107.16999999999999,-0.45,0.008,98.4015
649,Bayab Classic Dry 750ml,Beverage,Ent - White Spirits,Puzzle,23677.26,20,1183.86,-202.15,-0.85,0.008,98.4095
650,Glenmorangie Lasanta ,Beverage,Ent - Whiskey,Star,23610.48,246,95.98,-178.69,-0.75,0.008,98.4175
651,Red Bull Sugar Free 200ml,Beverage,Ent - Minerals Softdrink,Star,23561.160000000003,484,48.68,-186.49,-0.79,0.008,98.4255
652,Violent Martini,Beverage,Ent - Cocktails,Star,23497.68,285,82.45,-174.18,-0.74,0.008,98.4335
653,Kanonkop Paul Sauer 750ml,Beverage,Ent - Red Wine,Puzzle,23035.61,21,1096.93,-564.05,-2.39,0.0078,98.4413
654,Graham Beck Pinot Noir Rose Vint,Beverage,Ent - Sparkling Wine,Puzzle,22995.9,56,410.64,-224.72,-0.97,0.0078,98.4491
655,Sticky Toffee Pudding,Food,Cold Dessert,Star,22945.36,184,124.7,-67.67999999999999,-0.29,0.0078,98.4569
656,Armand De Brignac Rose,Beverage,Ent - Sparkling Wine,Puzzle,22742.3,3,7580.77,-5685.58,-20.0,0.0077,98.4723
657,AW2 Ataraxia Under The Gavel Cha,Beverage,Ent - White Wine,Puzzle,22742.3,14,1624.45,0.0,0.0,0.0077,98.4646
658,Haute Cabriere Char/Pin .WTF,Beverage,Ent - White Wine,Star,22528.42,246,91.58,-24.37,-0.11,0.0077,98.48
659,Corona Cero 355ml,Beverage,Ent - Beer,Star,22422.74,358,62.63,-177.88,-0.79,0.0076,98.4876
660,Campari,Beverage,Ent - Aperitif,Star,22379.29,380,58.89,-7.45,-0.03,0.0076,98.4952
661,William Ferve Chablis,Beverage,Ent - White Wine,Puzzle,22304.61,33,675.9,0.0,0.0,0.0076,98.5028
662,Reyneke Organic Chenin Blanc,Beverage,Ent - White Wine,Star,22260.38,73,304.94,-576.68,-2.53,0.0076,98.5104
663,Pol Roger Pure ExtraBrut N/V Cha,Beverage,Ent - Sparkling Wine,Puzzle,22172.17,23,964.01,-1138.69,-4.88,0.0075,98.5179
664,Neill Ellis Whitehall,Beverage,Prop - White Wine,Puzzle,22065.45,11,2005.95,-721.98,-3.17,0.0075,98.5254
