Rank,Item,Major Group,Family Group,Menu Class,Total Net Sales,Total Qty Sold,Avg Price,Discount,Discount Pct,Rev Contribution Pct,Cumulative Rev Pct
756,Vegan Coconut Panacotta,Food,Hot Dessert,Plowhorse,13944.109999999999,125,111.55,-39.71,-0.28,0.0047,99.0756
757,Demorgenzon Chenin Blanc Reserve,Beverage,Ent - White Wine,Dog,13907.1,19,731.95,0.0,0.0,0.0047,99.0803
758,Duval Leroy Blanc de Blanc Grand,Beverage,Ent - Sparkling Wine,Dog,13893.570000000002,8,1736.7,0.0,0.0,0.0047,99.085
759,AW6 Raats Family Wines Chenin Bl,Beverage,Ent - White Wine,Dog,13889.05,17,817.0,0.0,0.0,0.0047,99.0897
760,Minuty Rose Prestige,Beverage,Ent - Rose Wine,Dog,13848.44,28,494.59,0.0,0.0,0.0047,99.0944
761,Tequila Patron Xo Cafe,Beverage,Ent - Liqueur,Plowhorse,13771.73,256,53.8,-36.1,-0.26,0.0047,99.0991
762,Johnnie Walker Blue King Gorge V,Beverage,Ent - Whiskey,Dog,13717.58,18,762.09,0.0,0.0,0.0047,99.1038
763,Neil Ellis Cabernet Sauv Magnum ,Beverage,Ent - Red Wine,Plowhorse,13647.64,119,114.69,-51.89,-0.38,0.0046,99.1084
764,Krone Night Nectar Rose,Beverage,Ent - Sparkling Wine,Dog,13645.38,30,454.85,0.0,0.0,0.0046,99.113
765,KWV 20 Year ,Beverage,Ent - Brandy,Plowhorse,13643.58,81,168.44,0.0,0.0,0.0046,99.1176
766,Miso Soup,Food,Breakfast,Plowhorse,13583.11,94,144.5,-26.17,-0.19,0.0046,99.1222
767,AW6 Nederburg PB R163 Cab Sauv 2,Beverage,Ent - Red Wine,Dog,13573.19,14,969.51,0.0,0.0,0.0046,99.1268
768,Open Steak Sandwich ,Food,Light Meals,Plowhorse,13564.16,153,88.65,-162.45,-1.18,0.0046,99.1314
769,Ruby & Rose Choc Sable Breton Ta,Food,Cold Dessert,Plowhorse,13538.89,105,128.94,-70.39,-0.52,0.0046,99.136
770,AW4 Newton Johnson Family Vineya,Beverage,Ent - Red Wine,Dog,13537.09,9,1504.12,0.0,0.0,0.0046,99.1406
771,CD23 - 6 Moet & Chandon Nectar I,Beverage,Prop - Sparkling Wine,Dog,13401.72,3,4467.24,0.0,0.0,0.0046,99.1452
772,Billecart Salmon Rose.BLH,Beverage,Ent - Rose Wine,Dog,13289.58,11,1208.14,-2900.77,-17.92,0.0045,99.1497
773,Coconut Cherry Cheese Cake,Food,Hot Dessert,Plowhorse,13153.54,106,124.09,-45.12,-0.34,0.0045,99.1542
774,Chicken Caesar Salad,Food,Salad,Plowhorse,13118.79,125,104.95,-66.33,-0.5,0.0045,99.1587
775,Cake 12 inch,Food,Dessert Special,Dog,13085.85,15,872.39,-180.49,-1.36,0.0044,99.1631
776,Iona Nebbiolo,Beverage,Ent - Red Wine,Dog,12982.07,22,590.09,0.0,0.0,0.0044,99.1675
777,Old Fashioned,Beverage,Ent - Cocktails,Plowhorse,12964.02,153,84.73,0.0,0.0,0.0044,99.1719
778,Boschendal Nicolas 750ml,Beverage,Ent - Red Wine,Dog,12905.36,10,1290.54,0.0,0.0,0.0044,99.1763
779,Jack Daniels Single Barrel Bottl,Beverage,Ent - Whiskey,Dog,12887.31,7,1841.04,0.0,0.0,0.0044,99.1807
780,Jack Daniels Single Barrel ,Beverage,Ent - Whiskey,Plowhorse,12818.710000000001,198,64.74,0.0,0.0,0.0044,99.1851
781,Demorgenzon Stellenbosch Chenin ,Beverage,Ent - Sparkling Wine,Dog,12756.45,31,411.5,0.0,0.0,0.0043,99.1894
782,Floral Mixed Berry Wine Cooler ,Beverage,Ent - Cocktails,Plowhorse,12725.54,95,133.95,-67.01,-0.52,0.0043,99.1937
783,Glenmorangie Necta D'or ,Beverage,Ent - Whiskey,Plowhorse,12668.01,112,113.11,0.0,0.0,0.0043,99.198
784,Mullineux Granite Syrah,Beverage,Ent - Red Wine,Dog,12634.62,6,2105.77,-902.48,-6.67,0.0043,99.2023
785,Newton Johnson Upper Hemel en Aa,Beverage,Ent - White Wine,Dog,12579.11,42,299.5,-82.58,-0.65,0.0043,99.2066
786,Jordan Sophia 750ml,Beverage,Ent - Red Wine,Dog,12562.42,5,2512.48,-523.43,-4.0,0.0043,99.2109
787,KWV 10yr Brandy ,Beverage,Ent - Brandy,Plowhorse,12499.24,263,47.53,0.0,0.0,0.0042,99.2151
788,AW3 Bartho Eksteen Vloekskoop Sa,Beverage,Ent - White Wine,Dog,12494.73,12,1041.23,0.0,0.0,0.0042,99.2193
789,Grey Goose Original 750ml,Beverage,Ent - White Spirits,Dog,12483.0,9,1387.0,0.0,0.0,0.0042,99.2235
790,Passion Fruit Pavlova,Food,Cold Dessert,Plowhorse,12482.32,100,124.82,-39.48,-0.32,0.0042,99.2277
791,Nederburg Noble Late Harvest GLS,Beverage,Ent - White Wine,Plowhorse,12349.43,163,75.76,-18.95,-0.15,0.0042,99.2319
792,AW Cape Point Vineyards Reser Wh,Beverage,Ent - White Wine,Dog,12329.58,13,948.43,-178.69,-1.43,0.0042,99.2361
793,Buitenverwachting Meifort,Beverage,Ent - Red Wine,Dog,12318.75,32,384.96,0.0,0.0,0.0042,99.2403
794,Vilafonte Series C 750ml,Beverage,Ent - Red Wine,Dog,12183.38,3,4061.13,0.0,0.0,0.0041,99.2444
795,Martini Rosso,Beverage,Ent - Aperitif,Plowhorse,12077.78,320,37.74,0.0,0.0,0.0041,99.2485
796,Karoo Cheese & Biltong,Food,Side Orders,Plowhorse,12058.380000000001,268,44.99,-12.18,-0.1,0.0041,99.2526
797,French Bramble,Beverage,Ent - Cocktails,Plowhorse,12043.27,90,133.81,-140.11,-1.15,0.0041,99.2567
798,Cap Classique Day,Beverage,Ent - Sparkling Wine,Dog,12002.88,34,353.03,0.0,0.0,0.0041,99.2608
799,Deluxe Whiskey 50ml,Beverage,Ent - Whiskey,Plowhorse,11912.640000000001,100,119.13,0.0,0.0,0.004,99.2648
800,Restless River Wanderlust Red Bl,Beverage,Ent - Red Wine,Dog,11811.69,20,590.58,-81.09,-0.68,0.004,99.2688
801,Kids Full Breakfast,Food,Breakfast,Plowhorse,11797.57,113,104.4,-47.379999999999995,-0.4,0.004,99.2728
802,Ciroc Mango Vodka 750ml,Beverage,Ent - White Spirits,Dog,11724.92,7,1674.99,0.0,0.0,0.004,99.2768
803,AW2 De Grendel Op Die Berg Pinot,Beverage,Ent - Red Wine,Dog,11687.02,13,899.0,0.0,0.0,0.004,99.2808
804,Amarett & W Sou ,Beverage,Ent - Cocktails,Plowhorse,11641.89,195,59.7,-54.15,-0.46,0.004,99.2848
805,Rhubarb & Orange Sponge Pudding,Food,Cold Dessert,Plowhorse,11544.43,97,119.01,-151.62,-1.3,0.0039,99.2887
806,Genevieve Blanc de Blanc 750ml,Beverage,Ent - Sparkling Wine,Dog,11520.06,21,548.57,-49.64,-0.43,0.0039,99.2926
807,Neil Ellis Whitehall Chardonnay ,Beverage,Ent - White Wine,Dog,11506.52,15,767.1,0.0,0.0,0.0039,99.2965
808,Meerlust Chardonnay 750ml,Beverage,Ent - White Wine,Dog,11461.4,18,636.74,0.0,0.0,0.0039,99.3004
809,Marras The Trickster Cinsault 75,Beverage,Ent - Red Wine,Dog,11371.15,32,355.35,0.0,0.0,0.0039,99.3043
810,Ciroc Vodka 750ml,Beverage,Ent - White Spirits,Dog,11320.609999999999,5,2264.12,0.0,0.0,0.0038,99.3081
811,Geographica Thoreau Cabernet Fra,Beverage,Ent - Red Wine,Dog,11276.39,19,593.49,0.0,0.0,0.0038,99.3119
812,Autograph Gin Bottle,Beverage,Ent - White Spirits,Dog,11118.46,7,1588.35,0.0,0.0,0.0038,99.3157
813,ZAR Lite Draught,Beverage,Ent - Beer,Plowhorse,11067.92,211,52.45,0.0,0.0,0.0038,99.3195
814,Corkage,Beverage,Ent - Corkage,Dog,11055.29,18,614.18,0.0,0.0,0.0038,99.3233
815,Jack Daniels Honey,Beverage,Ent - Whiskey,Plowhorse,10884.36,234,46.51,-56.31,-0.51,0.0037,99.327
816,Wixworth Bottle,Beverage,Ent - White Spirits,Dog,10865.77,8,1358.22,0.0,0.0,0.0037,99.3307
817,Chickpea & Paneer Curry,Food,Hot Starter,Dog,10852.23,59,183.94,0.0,0.0,0.0037,99.3344
818,KWV Cognac XO,Beverage,Ent - Cognac,Dog,10789.060000000001,61,176.87,0.0,0.0,0.0037,99.3381
819,Holden Manz Rothko Rose 750ml,Beverage,Ent - Rose Wine,Plowhorse,10739.42,126,85.23,0.0,0.0,0.0036,99.3453
820,AW Groot Constantia Chardonnay,Beverage,Ent - White Wine,Dog,10739.42,15,715.96,0.0,0.0,0.0036,99.3417
821,Duval Leroy Blanc de Blancs Gran,Beverage,Ent - Sparkling Wine,Dog,10734.91,4,2683.73,-500.87,-4.46,0.0036,99.3489
822,Mothers Day Kids Lunch,Food,Main Specials,Dog,10694.29,38,281.43,0.0,0.0,0.0036,99.3525
823,Balvenie 12 Year.BLH,Beverage,Ent - Whiskey,Plowhorse,10640.15,87,122.3,0.0,0.0,0.0036,99.3561
824,Belvedere Vodka Btl,Beverage,Ent - White Spirits,Dog,10569.76,7,1509.97,0.0,0.0,0.0036,99.3597
825,Crystallum Peter Max Pinot noir,Beverage,Ent - Red Wine,Dog,10558.93,23,459.08,0.0,0.0,0.0036,99.3669
826,Savanna Bucket,Beverage,Ent - Cooler,Dog,10558.93,59,178.96,0.0,0.0,0.0036,99.3633
827,Wixworth Gin,Beverage,Ent - White Spirits,Plowhorse,10464.17,217,48.22,0.0,0.0,0.0036,99.3705
828,Bolognaise,Food,Main Pasta,Plowhorse,10360.38,74,140.01,0.0,0.0,0.0035,99.374
829,L'Ormarins Brut Classique ,Beverage,Ent - Sparkling Wine,Dog,10315.26,16,644.7,0.0,0.0,0.0035,99.3775
830,CD23 - 3 Veuve Clicquot Yellow L,Beverage,Prop - Sparkling Wine,Dog,10288.19,4,2572.05,0.0,0.0,0.0035,99.3845
831,AW4 Adi Badenhorst & Duncan Sava,Beverage,Ent - White Wine,Dog,10288.19,11,935.29,0.0,0.0,0.0035,99.381
832,AW2 Vriesenhof Pinot Noir 1.5L 2,Beverage,Ent - Red Wine,Dog,10288.19,5,2057.64,0.0,0.0,0.0035,99.388
833,Butternut,Food,Side Orders,Plowhorse,10282.77,211,48.73,-9.93,-0.1,0.0035,99.3915
834,KWV 10 year Old 750ml,Beverage,Ent - Brandy,Dog,10259.3,9,1139.92,0.0,0.0,0.0035,99.395
835,ZAR Light 340ml,Beverage,Ent - Beer,Plowhorse,10255.7,245,41.86,-37.9,-0.37,0.0035,99.3985
836,Trizanne Signature 2019 Darling ,Beverage,Ent - Red Wine,Plowhorse,10224.11,67,152.6,-325.78999999999996,-3.09,0.0035,99.402
837,Meerlust Pinot Noir,Beverage,Ent - Red Wine,Dog,10107.69,13,777.51,0.0,0.0,0.0034,99.4088
838,AW2 Jordan Sophia 2012,Beverage,Ent - White Wine,Dog,10107.69,6,1684.62,0.0,0.0,0.0034,99.4054
839,Valentines Day Single ,Food,Main Specials,Dog,10107.689999999999,12,842.31,-541.48,-5.08,0.0034,99.4122
840,Courvoisier X.O. Bottle,Beverage,Ent - Cognac,Dog,10089.64,2,5044.82,0.0,0.0,0.0034,99.4156
841,Pol Roger Winston Churchill Vint,Beverage,Ent - Sparkling Wine,Dog,10017.44,3,3339.15,0.0,0.0,0.0034,99.419
842,Vanillia Bean Panacotta,Food,Hot Dessert,Plowhorse,10000.52,80,125.01,-39.48,-0.39,0.0034,99.4224
843,Martell X.O Bottle,Beverage,Ent - Cognac,Dog,9972.32,2,4986.16,0.0,0.0,0.0034,99.4258
844,De Krans Touriga Nacional 750ml,Beverage,Ent - White Wine,Dog,9910.05,15,660.67,-125.44,-1.25,0.0034,99.4292
845,CD23 - 4 Moet & Chandon Nectar I,Beverage,Prop - Sparkling Wine,Dog,9882.07,3,3294.02,0.0,0.0,0.0034,99.4326
846,Klipdrift 50ml,Beverage,Ent - Brandy,Plowhorse,9827.92,109,90.16,0.0,0.0,0.0033,99.4359
847,AW3 Hartenberg CWG Auction Cab S,Beverage,Ent - Red Wine,Dog,9818.9,7,1402.7,0.0,0.0,0.0033,99.4392
848,AW2 Ernie Els CWG 2013,Beverage,Ent - White Wine,Dog,9746.7,8,1218.34,0.0,0.0,0.0033,99.4425
849,Hendricks Orbium Gin Bottle,Beverage,Ent - White Spirits,Dog,9728.65,6,1621.44,0.0,0.0,0.0033,99.4458
850,AW3 Saronsberg Sneeusig Shiraz 2,Beverage,Ent - Red Wine,Dog,9475.96,6,1579.33,0.0,0.0,0.0032,99.449
851,Valentines Day R1750,Food,Main Poultry,Dog,9475.96,5,1895.19,0.0,0.0,0.0032,99.4522
852,Acqua Panna 250ml,Beverage,Ent - Minerals Water,Plowhorse,9391.58,225,41.74,-52.8,-0.56,0.0032,99.4554
853,The Foundry Grenache Noir 750ml,Beverage,Ent - Red Wine,Dog,9385.71,14,670.41,0.0,0.0,0.0032,99.4586
854,Glass Of Fresh Juice,Beverage,Ent - Minerals Softdrinks,Plowhorse,9307.02,290,32.09,-48.92,-0.52,0.0032,99.4618
855,AW4 Vriesenhof Vineyards Pinot N,Beverage,Ent - Red Wine,Dog,9295.47,3,3098.49,0.0,0.0,0.0032,99.465
856,Fillet & Merlot Special for two,Food,Main Grill,Dog,9189.88,15,612.66,0.0,0.0,0.0031,99.4712
857,Gwinya & R&R Promo,Food,Light Meals,Dog,9189.88,15,612.66,0.0,0.0,0.0031,99.4681
858,AW3 Boschkloof Epilogue Syrah 20,Beverage,Ent - Red Wine,Dog,9160.09,6,1526.68,0.0,0.0,0.0031,99.4743
859,Rall Cinsault  750ml,Beverage,Ent - Red Wine,Dog,9128.5,16,570.53,0.0,0.0,0.0031,99.4774
860,Kiwi Fynbos Wine Cooler ,Beverage,Ent - Cocktails,Plowhorse,9076.62,68,133.48,-60.92,-0.67,0.0031,99.4805
861,Frangelico,Beverage,Ent - Liqueur,Plowhorse,9051.08,188,48.14,-151.43,-1.65,0.0031,99.4836
862,Mirari Pink Bottle Gin,Beverage,Ent - White Spirits,Dog,9015.7,6,1502.62,0.0,0.0,0.0031,99.4867
863,Reyneke Biodynamic Reserve Red 7,Beverage,Ent - Red Wine,Dog,8934.48,8,1116.81,0.0,0.0,0.003,99.4897
864,Springbok Carpaccio,Food,Starter,Dog,8907.4,60,148.46,-27.07,-0.3,0.003,99.4927
865,Lanson Ivory Label Demi Sec 750m,Beverage,Ent - Sparkling Wine,Dog,8884.84,14,634.63,0.0,0.0,0.003,99.4957
866,Durbanville Hills Sauvignon Blan,Beverage,Ent - White Wine,Dog,8821.67,39,226.2,-428.67,-4.63,0.003,99.4987
867,Benedict Royal,Food,Breakfast Extra,Plowhorse,8820.77,102,86.48,0.0,0.0,0.003,99.5017
868,Lismore Esate Viognier 750ml,Beverage,Ent - White Wine,Dog,8731.869999999999,13,671.68,-62.72,-0.71,0.003,99.5047
869,Burger & Agar's Promo,Food,Light Meals,Dog,8727.81,46,189.74,-17.15,-0.2,0.003,99.5077
870,Flying Fish Apple Flavoured Beer,Beverage,Ent - Beer,Plowhorse,8716.04,175,49.81,-33.43,-0.38,0.003,99.5107
871,Aperol,Beverage,Ent - Aperitif,Plowhorse,8688.1,135,64.36,0.0,0.0,0.003,99.5137
872,Bernini Ruby Berry NRB 275ml,Beverage,Ent - Cooler,Plowhorse,8643.880000000001,175,49.39,-18.05,-0.21,0.0029,99.5166
873,Nederburg Noble Late Harvest,Beverage,Ent - White Wine,Dog,8483.24,24,353.47,0.0,0.0,0.0029,99.5195
874,Dark Chocolate Mousse Popsicle,Food,Cold Dessert,Plowhorse,8447.14,65,129.96,0.0,0.0,0.0029,99.5224
875,Leeu Passant Cabernet Sauvignon ,Beverage,Ent - Red Wine,Dog,8438.12,10,843.81,0.0,0.0,0.0029,99.5253
876,David & Nadia Hoe Steen 750ml,Beverage,Ent - White Wine,Dog,8431.35,10,843.14,-751.3,-8.18,0.0029,99.5282
877,Courvoiser V.S.O.P Bottle,Beverage,Ent - Cognac,Dog,8392.99,4,2098.25,0.0,0.0,0.0029,99.5311
878,Mango Daiquiri.BLH,Beverage,Ent - Cocktails,Plowhorse,8373.59,76,110.18,-64.53,-0.76,0.0028,99.5339
879,Martini Bianco,Beverage,Ent - Aperitif,Plowhorse,8311.77,215,38.66,0.0,0.0,0.0028,99.5367
880,Cointreau,Beverage,Ent - Liqueur,Plowhorse,8278.56,156,53.07,-4.33,-0.05,0.0028,99.5395
881,Rall Concrete Syrah 750ml,Beverage,Ent - Red Wine,Dog,8212.5,13,631.73,0.0,0.0,0.0028,99.5423
882,Fillet & Merlot Special for one,Food,Main Grill,Dog,8165.12,23,355.01,-47.38,-0.58,0.0028,99.5451
883,AW Rijks Pinotage 2011,Beverage,Ent - Red Wine,Dog,8122.25,5,1624.45,0.0,0.0,0.0028,99.5507
884,AW Saronsberg Weathered Hand Shi,Beverage,Ent - Red Wine,Dog,8122.25,5,1624.45,0.0,0.0,0.0028,99.5535
885,De Grendel Amandelboord Pinotage,Beverage,Ent - Red Wine,Dog,8122.25,11,738.39,0.0,0.0,0.0028,99.5479
886,AW2 GrahamBeck Ultr Methode C Cl,Beverage,Ent - White Wine,Dog,8090.67,9,898.96,0.0,0.0,0.0027,99.5562
887,Grey Goose Vodka Bottle,Beverage,Ent - White Spirits,Dog,8086.15,5,1617.23,0.0,0.0,0.0027,99.5589
888,Chocolate Marquise,Food,Cold Dessert,Plowhorse,8009.4400000000005,64,125.15,0.0,0.0,0.0027,99.5616
889,Decaf Cappuccino L,Food,Ent - Coffee,Plowhorse,8000.599999999999,190,42.11,-54.87,-0.68,0.0027,99.5643
890,B 52,Beverage,Ent - Shooters,Plowhorse,7930.93,208,38.13,-37.9,-0.48,0.0027,99.567
891,Snack Menu 3,Food,Banqueting - Cocktail ,Plowhorse,7910.17,74,106.89,0.0,0.0,0.0027,99.5697
892,Monkey Shoulder Bottle,Beverage,Ent - Whiskey,Dog,7858.73,6,1309.79,0.0,0.0,0.0027,99.5724
893,Castle Free Alcohol Beer 340ml,Beverage,Ent - Beer,Plowhorse,7841.219999999999,183,42.85,-83.39,-1.05,0.0027,99.5751
894,Mirari Amber Bottle Gin,Beverage,Ent - White Spirits,Dog,7661.990000000001,6,1277.0,0.0,0.0,0.0026,99.5777
895,Coconut Cheesecake,Food,Cold Dessert,Plowhorse,7651.16,64,119.55,-37.9,-0.49,0.0026,99.5803
896,Drambuie,Beverage,Ent - Liqueur,Plowhorse,7620.47,150,50.8,0.0,0.0,0.0026,99.5829
897,Radford Dale Antidote Gamay Noir,Beverage,Ent - Red Wine,Dog,7594.31,15,506.29,0.0,0.0,0.0026,99.5855
898,Armand De Brignac Rose 750ml,Beverage,Ent - Sparkling Wine,Dog,7580.77,1,7580.77,-1895.19,-20.0,0.0026,99.5881
899,Crescendo Reserve ,Beverage,Ent - Red Wine,Dog,7580.77,2,3790.38,0.0,0.0,0.0026,99.5907
900,Beaujolais Daniel Boulard,Beverage,Ent - Red Wine,Dog,7580.77,11,689.16,0.0,0.0,0.0026,99.5933
901,Eggs Benedict,Food,Breakfast Extra,Plowhorse,7557.3,491,15.39,-30.68,-0.4,0.0026,99.5959
902,Tequilla Sunrise,Beverage,Ent - Cocktails,Plowhorse,7532.030000000001,80,94.15,0.0,0.0,0.0026,99.5985
903,Smoked Salmon Eggs,Food,Breakfast Extra,Plowhorse,7508.12,108,69.52,-191.78,-2.49,0.0026,99.6011
904,Strawberry Bowl,Food,Cold Dessert,Plowhorse,7360.110000000001,245,30.04,-4.06,-0.06,0.0025,99.6036
905,Bains Cape Whisky 750ml,Beverage,Ent - Whiskey,Dog,7353.35,6,1225.56,0.0,0.0,0.0025,99.6061
906,Valdo Rose Floral ,Beverage,Ent - Sparkling Wine,Dog,7310.03,16,456.88,0.0,0.0,0.0025,99.6086
907,Caramel Banana and Hazelnut Text,Food,Cold Dessert,Plowhorse,7276.41,69,105.46,-42.64,-0.58,0.0025,99.6111
908,Three Ships 15yrs Pinotage Oak 7,Beverage,Ent - Whiskey,Dog,7184.58,35,205.27,0.0,0.0,0.0024,99.6135
909,Caolila 12yo Single Malt ,Beverage,Ent - Whiskey,Plowhorse,7058.24,71,99.41,0.0,0.0,0.0024,99.6159
910,Old Ways Longavi Grenache 750ml,Beverage,Ent - Red Wine,Dog,7039.28,11,639.93,0.0,0.0,0.0024,99.6183
911,"Deck-Sliced Biltong,Chilli Stick",Food,Starter,Dog,6998.68,44,159.06,-148.9,-2.08,0.0024,99.6207
912,Corona Bucket,Beverage,Ent - Beer,Dog,6994.16,23,304.09,0.0,0.0,0.0024,99.6231
913,Geographica Bonsai Chenin Blanc ,Beverage,Ent - White Wine,Dog,6980.62,12,581.72,0.0,0.0,0.0024,99.6255
914,AW6 Spier Farm House Chenin Blan,Beverage,Ent - White Wine,Dog,6949.04,9,772.12,0.0,0.0,0.0024,99.6279
915,San Pellegrino 250ml,Beverage,Ent - Minerals Water,Plowhorse,6939.110000000001,170,40.82,-5.41,-0.08,0.0024,99.6303
916,Moscow Mule,Beverage,Ent - Cocktails,Plowhorse,6931.17,74,93.66,-17.87,-0.26,0.0024,99.6327
917,Beaumont Pinotage,Beverage,Ent - Red Wine,Dog,6899.4,10,689.94,0.0,0.0,0.0023,99.635
918,Cake 10 inch,Food,Dessert Special,Dog,6836.2300000000005,9,759.58,0.0,0.0,0.0023,99.6373
919,Veal Loin,Food,Main Grill,Dog,6785.69,19,357.14,-131.76,-1.9,0.0023,99.6396
920,Dark Chocolate Torte,Food,Hot Dessert,Plowhorse,6748.919999999999,66,102.26,-33.17,-0.49,0.0023,99.6419
921,Autogragh Gin,Beverage,Ent - White Spirits,Plowhorse,6740.57,123,54.8,-9.93,-0.15,0.0023,99.6442
922,Monis Full GLS,Beverage,Ent - Sherry,Plowhorse,6729.28,72,93.46,-12.18,-0.18,0.0023,99.6465
923,AW6 De Grendel Op die Berg Pinot,Beverage,Ent - Red Wine,Dog,6678.3,7,954.04,0.0,0.0,0.0023,99.6534
924,Rall NOA Chenin Blanc 750ml,Beverage,Ent - White Wine,Dog,6678.3,7,954.04,0.0,0.0,0.0023,99.6488
925,AW2 Kanonkop CWG Paul Sauer 2012,Beverage,Ent - White Wine,Dog,6678.3,2,3339.15,0.0,0.0,0.0023,99.6511
926,Three Ships 10 YO Bottle ,Beverage,Ent - Whiskey,Dog,6570.0,4,1642.5,0.0,0.0,0.0022,99.6556
927,Decaf Americano L,Food,Ent - Coffee,Plowhorse,6461.71,165,39.16,-7.22,-0.11,0.0022,99.6578
928,AW2 Bouchard Finlayson A Res Pin,Beverage,Ent - Red Wine,Dog,6443.65,6,1073.94,0.0,0.0,0.0022,99.66
929,Stellenbosch Vinyard Verdelho 75,Beverage,Ent - White Wine,Dog,6416.58,16,401.04,0.0,0.0,0.0022,99.6622
930,Caprese Salad ,Food,Salad,Dog,6413.87,56,114.53,-20.76,-0.32,0.0022,99.6644
931,Neil Ellis Sauvignon Blanc,Beverage,Ent - White Wine,Dog,6335.36,18,351.96,0.0,0.0,0.0022,99.6666
932,Johnnie Walker Green Label Bottl,Beverage,Ent - Whiskey,Dog,6317.31,2,3158.66,0.0,0.0,0.0021,99.6729
933,AW3 Nederburg PB R109 Cab Sauv M,Beverage,Ent - Red Wine,Dog,6317.31,5,1263.46,0.0,0.0,0.0021,99.6708
934,Tokara Sauvignon Blanc,Beverage,Ent - White Wine,Dog,6317.31,13,485.95,0.0,0.0,0.0021,99.6687
935,Crystallum The Agnes Chardonnay,Beverage,Ent - White Wine,Dog,6273.99,16,392.12,-142.59,-2.22,0.0021,99.675
936,Damascene Cab Franc 750ml,Beverage,Ent - Red Wine,Dog,6272.18,9,696.91,0.0,0.0,0.0021,99.6771
937,Lagavulin 16 Year Old 750ml,Beverage,Ent - Whiskey,Dog,6193.67,5,1238.73,0.0,0.0,0.0021,99.6792
938,AW3 Hartenberg CWG Auction Stell,Beverage,Ent - White Wine,Dog,6136.81,4,1534.2,0.0,0.0,0.0021,99.6813
939,Niel Jourbet Gruner 750ml,Beverage,Ent - White Wine,Dog,6123.28,22,278.33,-266.23,-4.17,0.0021,99.6834
940,Gin & Mixer,Beverage,Ent - White Spirits,Plowhorse,6091.69,81,75.21,0.0,0.0,0.0021,99.6876
941,Lismore Age Of Grace Viognier 75,Beverage,Ent - White Wine,Dog,6091.69,14,435.12,0.0,0.0,0.0021,99.6855
942,Peroni Nastro Azzurro NRB 330ml,Beverage,Ent - Beer,Plowhorse,6088.08,121,50.31,0.0,0.0,0.0021,99.6897
943,De Krans Touriga Naciona.PTA,Beverage,Ent - Red Wine,Dog,6060.1,16,378.76,0.0,0.0,0.0021,99.6918
944,Hennessy VSOP Luminous,Beverage,Ent - Cognac,Dog,6018.59,35,171.96,0.0,0.0,0.002,99.6938
945,Blackwater Noir,Beverage,Ent - Red Wine,Dog,5875.1,19,309.22,0.0,0.0,0.002,99.6958
946,Cake 26 inch,Food,Dessert Special,Dog,5866.07,7,838.01,0.0,0.0,0.002,99.6978
947,CD23 - 6 Veuve Clicquot Rich,Beverage,Prop - Sparkling Wine,Dog,5866.07,1,5866.07,0.0,0.0,0.002,99.6998
948,Red Heart,Beverage,Ent - Rum,Plowhorse,5865.17,169,34.71,-50.54,-0.85,0.002,99.7018
949,Reyneke Biodynamic Syrah,Beverage,Ent - Red Wine,Dog,5854.34,12,487.86,0.0,0.0,0.002,99.7038
950,Modern Caesar Salad,Food,Salad,Dog,5843.51,32,182.61,0.0,0.0,0.002,99.7058
951,Born of Fire Chenin Blanc 750ml,Beverage,Ent - White Wine,Dog,5807.41,12,483.95,0.0,0.0,0.002,99.7078
952,AW3 Cederberg Teen Die Hoog Shir,Beverage,Ent - Red Wine,Dog,5775.82,4,1443.96,0.0,0.0,0.002,99.7098
953,Alheit Vineyards Monument Semill,Beverage,Ent - White Wine,Dog,5744.24,7,820.61,0.0,0.0,0.002,99.7118
954,Alheit Nautical Dawn 750ml,Beverage,Ent - White Wine,Dog,5744.23,7,820.6,0.0,0.0,0.002,99.7138
955,AW4 Bartho Eksteen Vloekskoot Sa,Beverage,Ent - White Wine,Dog,5699.11,5,1139.82,0.0,0.0,0.0019,99.7157
956,Diemersdal The Journal Pinotage ,Beverage,Ent - Red Wine,Dog,5685.58,6,947.6,0.0,0.0,0.0019,99.7195
957,AW2 Etienne le Riche Cab Sauv A ,Beverage,Ent - Red Wine,Dog,5685.58,4,1421.4,0.0,0.0,0.0019,99.7176
958,Neil Ellis Shiraz 750ml,Beverage,Ent - Red Wine,Dog,5685.57,3,1895.19,0.0,0.0,0.0019,99.7214
959,French Toast,Food,Breakfast Extra,Plowhorse,5676.55,68,83.48,0.0,0.0,0.0019,99.7233
960,Bushmills Black Bush,Beverage,Ent - Whiskey,Plowhorse,5672.9400000000005,83,68.35,-138.98000000000002,-2.39,0.0019,99.7252
961,CD23 - Moet & Chandon ICE,Beverage,Prop - Sparkling Wine,Dog,5640.45,5,1128.09,0.0,0.0,0.0019,99.7271
962,Grilled Kippers,Food,Breakfast Extra,Plowhorse,5623.31,206,27.3,-230.13,-3.93,0.0019,99.729
963,Deconstructed Tiramisu,Food,Hot Dessert,Dog,5617.89,45,124.84,-22.56,-0.4,0.0019,99.7309
964,Chai Cappucino,Food,Ent - Tea,Plowhorse,5604.35,142,39.47,-63.17,-1.11,0.0019,99.7328
965,Diemersdal Estate Durbanville,Beverage,Ent - White Wine,Dog,5590.82,19,294.25,0.0,0.0,0.0019,99.7347
966,Waterford Estate Chardonnay ,Beverage,Ent - White Wine,Dog,5414.83,5,1082.97,0.0,0.0,0.0018,99.7365
